RANK,Institue id,college name,city,state,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS,PR,TLR,RP,GO,OI,PR,TOTAL
174,IR-E-U-0169,ManavRachna International Institute of Research & Studies,Faridabad,Haryana,7.28,25.57,11.07,8.03,1.1,1.05,1.5,0.45,26.89,13.27,10.93,0.64,9.44,19.22,0.61,20,1.1,15.585,1.23,10.346,4.927,0.11,32.198
175,IR-E-C-1438,The National Institute of Engineering,Mysore,Karnataka,10.5,22.62,10.1,8.76,0.62,0.65,1,0.38,24.22,15,11.82,0,2.46,24.84,3.27,20,5.21,15.594,0.795,10.208,5.057,0.521,32.175
176,IR-E-C-16572,Sri Venkateswara College of Engineering,Kancheepuram,Tamil Nadu	,11.28,26.52,11.68,6.69,1.4,3.42,0,0.1,24.03,12.64,11.42,0.64,0.94,22.11,1.27,14,2.16,16.851,1.476,9.746,3.832,0.216,32.121
177,IR-E-U-0147,Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,11,16.58,9.66,11.84,3.8,7.39,0,0.78,23.85,15,10.51,0.98,2.45,8.69,2.66,20,3.2,14.724,3.591,10.068,3.38,0.32,32.083
178,IR-E-C-9462,"School of Engineering, Cochin University of Science and Technology",Cochin,Kerala,9.5,23.31,10.81,6.46,7.03,5.91,1,0.25,16.4,11.29,10.59,0.28,6.76,20.65,2.36,15,5.69,15.024,4.257,7.712,4.477,0.569,32.039
179,IR-E-C-30153,"Silicon Institute of Technology (SIT), Bhubaneswar",Bhubaneswar,Odisha,8.4,24.6,13.17,6.72,1.04,1.56,0,0.06,22.79,13.96,10.45,0,10.67,23.7,1.83,20,2.69,15.867,0.798,9.44,5.62,0.269,31.994
180,IR-E-C-19747,Anurag Group of Institutions,Hyderabad,Telangana,13.5,26.06,10.62,6.36,0.55,0.78,0,0.11,19.47,14.55,9.94,0,6.05,26.81,2.11,20,0.55,16.962,0.432,8.792,5.497,0.055,31.738
181,IR-E-U-0373,Chitkara University,Rajpura,Punjab,11.11,21.44,8.3,7.48,0.97,1.37,5,0.21,21.58,15,11.09,0.19,12.48,21.26,0.1,20,0,14.499,2.265,9.572,5.384,0,31.72
182,IR-E-U-0455,"Indian Institute of Information Technology, Design & Manufacturing",Chennai	,Tamil Nadu,7.89,12.06,8.18,7.39,3.53,3.06,0,1.21,27.97,14.87,12.77,2.01,18.94,10.76,3.36,20,18.15,10.656,2.34,11.524,5.306,1.815,31.641
183,IR-E-U-0739,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,11.5,19.16,9.01,7.83,6,4.97,2,2.87,11.51,15,10.68,6.91,1.11,12.62,5.37,16,2.69,14.25,4.752,8.82,3.51,0.269,31.601
184,IR-E-C-26929,Sree Vidyanikethan Engineering College,A.Rangampet,Andhra Pradesh,12.94,23.36,10.96,6.8,0.46,0.7,0,0.08,25.55,14.67,10.72,0,0.62,22.38,4.58,20,0,16.218,0.372,10.188,4.758,0,31.536
185,IR-E-C-26928,JNTUA College of Engineering,Anantapur,Andhra Pradesh,8.2,26.45,12.17,8.31,1.2,1.43,1,0.33,24.13,13.62,10.44,0,0.48,25.77,4.58,6,4.72,16.539,1.188,9.638,3.683,0.472,31.52
186,IR-E-C-1398,BNM Institute of Technology,Bengaluru,Karnataka,7.4,27.24,12.74,8.28,0.58,0.53,0,0,22.62,13.29,10.77,0.19,3.14,27.03,0.63,20,0,16.698,0.333,9.374,5.08,0,31.485
187,IR-E-C-26162,Vasavi College of Engineering,Hyderabad,Telangana,9,21.42,9.33,9.06,0.27,0.38,0,0.1,30.03,15,11.54,0,1.65,25.73,3.09,20,2.16,14.643,0.225,11.314,5.047,0.216,31.445
188,IR-E-C-17913,Gayatri Vidya Parishad College of Engineering,Visakhapatnam,Andhra Pradesh,13.5,23.13,11.1,6.55,0.46,0.8,0,0.42,21.1,14,10.38,0,0.45,24.97,2.69,20,6.65,16.284,0.504,9.096,4.811,0.665,31.36
189,IR-E-C-27089,National Engineering College,Kovilpatti,Tamil Nadu,8.46,27.3,11.56,6.66,1.85,3.02,1,0.12,21.18,13.66,7.87,0.19,0.06,26.29,0.5,20,1.1,16.194,1.797,8.58,4.685,0.11,31.366
190,IR-E-C-26905	,G.Pulla Reddy Engineering College,Kurnool,Andhra Pradesh,10.11,24.92,12.1,5.98,0.48,0.5,0,0.16,22.48,14.9,10.61,0.28,0.81,25.79,5,20,2.69,15.933,0.342,9.654,5.16,0.269,31.358
191,IR-E-C-6192,Institute of Engineering & Management,Kolkata,West Bengal,8.68,17.92,7.75,9.39,3.92,3.67,0,0.22,26.23,15,10.5,0,11.79,20.35,0.82,20,2.16,13.122,2.343,10.346,5.296,0.216,31.323
192,IR-E-C-16476,Sri Sai Ram Institute of Technology,Chennai,Tamil Nadu,7.04,26.25,10.66,4.95,0.47,1.15,1,0.17,29.06,15,9.92,0.09,0.5,24.67,2.49,20,2.16,14.67,0.837,10.814,4.766,0.216,31.303
193,IR-E-U-0129,Dharmsinh Desai University,Nadiad,Gujarat,10.5,22.05,9.07,7.78,0.58,1.02,0,0.69,32.18,15,11.3,0.64,0.11,16.23,0.54,20,2.69,14.82,0.687,11.824,3.688,0.269,31.288
194,IR-E-U-0405,The LNM Institute of Information Technology,Jaipur,Rajasthan,7.75,14.69,9.69,9.81,4.3,6.77,1,0.06,23.42,14.29,15.36,0.19,9.09,13.92,0.07,20,0.55,12.582,3.639,10.652,4.308,0.055,31.236
195,IR-E-U-0162,Guru Jambheshwar University of Science and Technology,Hisar,Haryana,9.33,19.31,8.13,4.27,4.55,8.63,0.5,0.15,26.51,13.27,10.28,1.86,2.69,17.32,0.12,20,3.71,12.312,4.149,10.384,4.013,0.371,31.229
196,IR-E-C-42227,Dr. D. Y. Patil Institute of Technology,Pune,Maharashtra,11.5,22.31,9.28,6.6,0.28,0.28,1,0.1,27.4,14.75,10.5,0.98,3.15,23.54,1.81,20,1.63,14.907,0.498,10.726,4.85,0.163,31.144
197,IR-E-C-49660,Pimpri Chinchwad College of Engineering,Pune,Maharashtra,10.5,19.67,7.84,8.1,2.26,1.04,4,0.05,25.48,15,10.24,0,0.44,25.42,2.9,20,0.55,13.833,2.205,10.144,4.876,0.055,31.113
198,IR-E-C-34167,Ramrao Adik Institute of Technology,Navi Mumbai,Maharashtra,12,24.18,9.44,7.99,1.53,1.23,1,0.05,20.89,14.18,10.49,0.19,0.84,24.78,1.63,20,0,16.083,1.143,9.15,4.725,0,31.101
199,IR-E-C-48145,BVRIT Hyderabad,Hyderabad,Telangana,7.5,24.57,9.44,7.65,0.1,0.14,0,0.23,28.23,15,10.51,0,3.8,30,1.19,18,1.63,14.748,0.141,10.748,5.299,0.163,31.099
200,IR-E-U-0615,National Institute of Technology Arunachal Pradesh,Itanagar,Arunachal Pradesh,5.24,20.32,12.7,12.29,3.73,2.97,1,1.36,17.04,9.97,12.26,0.09,9.24,10.32,8.65,18,7.12,15.165,2.718,7.872,4.621,0.712,31.088
